WORD	POS	CHUNK	LI	CLASS	FOCUS
places	NNS	B-NP	B-IH	B-cinema	B-FOCUS
to	TO	B-VP	I-IH	I-cinema	O
see	VB	I-VP	I-IH	I-cinema	O
Matrix	NNP	B-NP	B-IM_MovTitle	I-cinema	O
Revolutions	NNS	I-NP	I-IM_MovTitle	I-cinema	O
in	IN	B-PP	O	I-cinema	O
NY	NNP	B-NP	B-IM_LocCity	I-cinema	O
?	.	O	O	I-cinema	O

find	VB	B-VP	O	B-cinema	O
me	PRP	B-NP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
cinema	NN	I-NP	B-IH	I-cinema	B-FOCUS
in	IN	B-PP	O	I-cinema	O
San	NNP	B-NP	B-IM_LocCity	I-cinema	O
Diego	NNP	I-NP	I-IM_LocCity	I-cinema	O
with	IN	B-PP	O	I-cinema	O
batman	NN	B-NP	B-IM_MovTitle	I-cinema	O
forever	RB	B-LST	I-IM_MovTitle	I-cinema	O

cinema	NN	B-NP	B-IH	B-cinema	B-FOCUS
showing	VBG	B-VP	O	I-cinema	O
a	DT	B-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
directed	VBN	B-VP	O	I-cinema	O
by	IN	B-PP	O	I-cinema	O
steven	JJ	B-NP	B-IM_PerDirector	I-cinema	O
spielberg	NN	I-NP	I-IM_PerDirector	I-cinema	O
in	IN	B-PP	O	I-cinema	O
LA	NNP	B-NP	B-IM_LocCity	I-cinema	O

where	WRB	B-ADVP	O	B-cinema	O
can	MD	B-NP	O	I-cinema	O
i	FW	B-VP	O	I-cinema	O
see	VB	I-VP	O	I-cinema	O
the	DT	B-NP	O	I-cinema	O
last	JJ	I-NP	O	I-cinema	O
movie	NN	I-NP	B-IH	I-cinema	O
with	IN	B-PP	O	I-cinema	O
Clooney	NNP	B-NP	B-IM_PerActor	I-cinema	O
in	IN	B-PP	O	I-cinema	O
Las	NNP	B-NP	B-IM_LocCity	I-cinema	O
Vegas	NNP	I-NP	I-IM_LocCity	I-cinema	O
?	.	O	O	I-cinema	O

theaters	NNS	B-NP	B-IH	B-cinema	B-FOCUS
